model,condition,scenario_type,total_questions,correct,accuracy,ci_lower,ci_upper,ci_string
gemini-2.0-flash,rgb,fast_movement,15,12,80.0,54.8,93.0,"[54.8%, 93.0%]"
gemini-2.0-flash,rgb,full_occlusion,17,11,64.7,41.3,82.7,"[41.3%, 82.7%]"
gemini-2.0-flash,rgb,multiple_objects,15,11,73.3,48.0,89.1,"[48.0%, 89.1%]"
gemini-2.0-flash,rgb,partial_occlusion,15,11,73.3,48.0,89.1,"[48.0%, 89.1%]"
gemini-2.0-flash,rgb,slow_movement,15,9,60.0,35.7,80.2,"[35.7%, 80.2%]"
gemini-2.0-flash,rgb_depth,fast_movement,15,9,60.0,35.7,80.2,"[35.7%, 80.2%]"
gemini-2.0-flash,rgb_depth,full_occlusion,15,10,66.7,41.7,84.8,"[41.7%, 84.8%]"
gemini-2.0-flash,rgb_depth,multiple_objects,15,10,66.7,41.7,84.8,"[41.7%, 84.8%]"
gemini-2.0-flash,rgb_depth,partial_occlusion,15,12,80.0,54.8,93.0,"[54.8%, 93.0%]"
gemini-2.0-flash,rgb_depth,slow_movement,15,8,53.3,30.1,75.2,"[30.1%, 75.2%]"
gpt-4o,rgb,fast_movement,15,11,73.3,48.0,89.1,"[48.0%, 89.1%]"
gpt-4o,rgb,full_occlusion,15,10,66.7,41.7,84.8,"[41.7%, 84.8%]"
gpt-4o,rgb,multiple_objects,15,14,93.3,70.2,98.8,"[70.2%, 98.8%]"
gpt-4o,rgb,partial_occlusion,15,8,53.3,30.1,75.2,"[30.1%, 75.2%]"
gpt-4o,rgb,slow_movement,15,11,73.3,48.0,89.1,"[48.0%, 89.1%]"
gpt-4o,rgb_depth,fast_movement,15,14,93.3,70.2,98.8,"[70.2%, 98.8%]"
gpt-4o,rgb_depth,full_occlusion,15,14,93.3,70.2,98.8,"[70.2%, 98.8%]"
gpt-4o,rgb_depth,multiple_objects,15,13,86.7,62.1,96.3,"[62.1%, 96.3%]"
gpt-4o,rgb_depth,partial_occlusion,15,9,60.0,35.7,80.2,"[35.7%, 80.2%]"
gpt-4o,rgb_depth,slow_movement,15,12,80.0,54.8,93.0,"[54.8%, 93.0%]"
